PJN_PRODUCT_FEED_BASIC 
Addison Mid Calf (heather grey)	722457964536	https://www.ellie.com/products/addison-mid-calf-heather-grey	https://cdn.shopify.com/s/files/1/1565/8379/products/Ellie_june_2590.jpg?v=1527016689	 Soft Breathable Fabric 90% Polyester, 10% Spandex Jacquard Mesh Insets Coolmax Gusset Machine Wash Fitted 10 1/4 Front Rise &amp; 11 1/2 Back Rise 22 Inseam 4 1/2 High Rise Waistband Sanded DryWik 			24.99		Balance	Leggings
Addison Mid Calf (heather grey)	722457964543	https://www.ellie.com/products/addison-mid-calf-heather-grey	https://cdn.shopify.com/s/files/1/1565/8379/products/Ellie_june_2590.jpg?v=1527016689	 Soft Breathable Fabric 90% Polyester, 10% Spandex Jacquard Mesh Insets Coolmax Gusset Machine Wash Fitted 10 1/4 Front Rise &amp; 11 1/2 Back Rise 22 Inseam 4 1/2 High Rise Waistband Sanded DryWik 			24.99		Balance	Leggings
Adrenaline Jacket	722457737604	https://www.ellie.com/products/adrenaline-jacket	https://cdn.shopify.com/s/files/1/1565/8379/products/2017_12_15_Ellie_JanBox_Melissa_Staci_PharoAthleticClub128123.jpg?v=1514509832				32.99		Marika	Jacket
Adrenaline Jacket	722457737611	https://www.ellie.com/products/adrenaline-jacket	https://cdn.shopify.com/s/files/1/1565/8379/products/2017_12_15_Ellie_JanBox_Melissa_Staci_PharoAthleticClub128123.jpg?v=1514509832				32.99		Marika	Jacket
Adrenaline Jacket	722457737628	https://www.ellie.com/products/adrenaline-jacket	https://cdn.shopify.com/s/files/1/1565/8379/products/2017_12_15_Ellie_JanBox_Melissa_Staci_PharoAthleticClub128123.jpg?v=1514509832				32.99		Marika	Jacket
Adrenaline Jacket	722457737635	https://www.ellie.com/products/adrenaline-jacket	https://cdn.shopify.com/s/files/1/1565/8379/products/2017_12_15_Ellie_JanBox_Melissa_Staci_PharoAthleticClub128123.jpg?v=1514509832				32.99		Marika	Jacket
Adriana Sports Bra	722457355259	https://www.ellie.com/products/adriana-sports-bra-plus-size	https://cdn.shopify.com/s/files/1/1565/8379/products/BPL0096A-001_VPB0007A-001114365_12017_11_24_Curves_staci.jpg?v=1511817153				24.99		Marika	Sports Bra
Adriana Sports Bra	722457355280	https://www.ellie.com/products/adriana-sports-bra-plus-size	https://cdn.shopify.com/s/files/1/1565/8379/products/BPL0096A-001_VPB0007A-001114365_12017_11_24_Curves_staci.jpg?v=1511817153				24.99		Marika	Sports Bra
Adriana Sports Bra	722457355228	https://www.ellie.com/products/adriana-sports-bra-plus-size	https://cdn.shopify.com/s/files/1/1565/8379/products/BPL0096A-001_VPB0007A-001114365_12017_11_24_Curves_staci.jpg?v=1511817153				24.99		Marika	Sports Bra
Adriana Sports Bra	722457355266	https://www.ellie.com/products/adriana-sports-bra-plus-size	https://cdn.shopify.com/s/files/1/1565/8379/products/BPL0096A-001_VPB0007A-001114365_12017_11_24_Curves_staci.jpg?v=1511817153				24.99		Marika	Sports Bra
Adriana Sports Bra	722457355235	https://www.ellie.com/products/adriana-sports-bra-plus-size	https://cdn.shopify.com/s/files/1/1565/8379/products/BPL0096A-001_VPB0007A-001114365_12017_11_24_Curves_staci.jpg?v=1511817153				24.99		Marika	Sports Bra
Adriana Sports Bra	722457355273	https://www.ellie.com/products/adriana-sports-bra-plus-size	https://cdn.shopify.com/s/files/1/1565/8379/products/BPL0096A-001_VPB0007A-001114365_12017_11_24_Curves_staci.jpg?v=1511817153				24.99		Marika	Sports Bra
Adriana Sports Bra	722457355310	https://www.ellie.com/products/adriana-sports-bra-plus-size	https://cdn.shopify.com/s/files/1/1565/8379/products/BPL0096A-001_VPB0007A-001114365_12017_11_24_Curves_staci.jpg?v=1511817153				24.99		Marika	Sports Bra
After Dark - 5 Item	764204142743	https://www.ellie.com/products/after-dark-5-item	https://cdn.shopify.com/s/files/1/1565/8379/products/2018_03_16_Ellie_AprilBox_Logan_White10349_e681db03-2d31-4a36-822a-8db01b5fd16f.jpg?v=1522285599	Mixed Illusion Ankle Legging: Our midrise Mixed Illusion Ankle Tight is cut from our performance Powertek fabric, providing the perfect combination of movement and support, no matter the workout. Additional features include sheer stripe insets and mesh side pockets to stash your belongings. Rachel Sports Bra: Move freely in our lowsupport, strappy back bra, built with a wide underband, removable cups and cut from performance fabric that wicks away sweat Canyon Singlet: Our lightweight singlet is perfect for any workout, thanks to its relaxed fit, breathable keyhole cutout and high low hemline. Layer it over your favorite sports bra and get moving! 350 ML Rose Gold Bottle: Stay hydrated in style with our sleek, doublewalled stainlesssteel 350 ml Rose Gold water bottle that keeps cold drinks cold for up to 24 hours and hot drinks hot for up to 12. One Zip Waist Pack: Carry key essentials and be handsfree, secure and organized with our lightweight waist pack. Features include a reflective trim for high visibility, a convenient ear bud port and a single zipper pocket for storage.			49.95		EllieActive	
After Dark - The April Collection (2018)	764204142712	https://www.ellie.com/products/after-dark-3-item	https://cdn.shopify.com/s/files/1/1565/8379/products/2018_03_16_Ellie_AprilBox_Logan_White10349.jpg?v=1522098594	Mixed Illusion Ankle Legging: Our midrise Mixed Illusion Ankle Tight is cut from our performance Powertek fabric, providing the perfect combination of movement and support, no matter the workout. Additional features include sheer stripe insets and mesh side pockets to stash your belongings. Rachel Sports Bra: Move freely in our lowsupport, strappy back bra, built with a wide underband, removable cups and cut from performance fabric that wicks away sweat. Canyon Singlet: Our lightweight singlet is perfect for any workout, thanks to its relaxed fit, breathable keyhole cutout and high low hemline. Layer it over your favorite sports bra and get moving!			49.95		EllieActive	
